Abb_Spp,Size,Mobility,Activity,Schooling,Position,Diet
ACHIR,S3,Mob,Day,SmallG,Low,IM
ACOER,S3,Mob,Day,SmallG,Low,HD
ASAXA,S3,Mob,Day,SmallG,Low,OM
ASURI,S4,Mob,Day,SmallG,Low,IM
ATAUR,S3,Mob,Day,SmallG,Low,OM
ATRAC,S3,Mob,Day,SmallG,Low,HD
AVIRG,S3,Mob,Day,SmallG,Low,IM
BLUNA,S4,Sed,Day,Sol,Bottom,FC
BRUFU,S4,Mob,Day,MedG,Low,HD
CCAPI,S3,Mob,Both,SmallG,Low,IM
CCRUEN,S3,Mob,Day,SmallG,Low,HD
CCYAN,S3,Mob,Day,SmallG,Low,IS
CMACR,S4,Mob,Day,Pair,Low,IS
CMULT,S2,Sed,Both,SmallG,Low,IM
COCEL,S3,Sed,Both,Sol,Low,PK
CROST,S2,Sed,Day,Sol,Low,OM
CRUBE,S4,Mob,Day,Sol,Bottom,FC
CSUFF,S3,VMob,Day,MedG,Low,HM
DHOLO,S2,Mob,Day,Sol,Low,IS
DHYST,S4,Mob,Both,Sol,Bottom,IM
ELANC,S2,Sed,Both,SmallG,Low,IM
EPUNC,S3,Sed,Day,Sol,Low,IM
GCINER,S3,Mob,Both,MedG,Low,IM
HBIVI,S3,Mob,Day,Sol,Low,IM
HCILI,S2,Mob,Both,MedG,Low,IM
HFLAV,S3,VMob,Both,MedG,High,PK
HGARN,S3,Mob,Day,SmallG,Low,IM
HMELA,S3,Mob,Both,MedG,Low,IM
HRADI,S4,Mob,Day,Sol,Low,IM
HSCIU,S3,Sed,Both,MedG,Low,PK
HTRIC,S3,Sed,Day,Pair,Low,IS
KYPHO,S4,VMob,Both,SmallG,High,FC
LAPOD,S4,Mob,Day,SmallG,Low,IM
LGRIS,S4,Mob,Day,SmallG,Low,FC
LMAHO,S3,Mob,Day,MedG,Low,IM
LTRIQ,S3,Mob,Day,Sol,Low,IM
MCHRY,S3,VMob,Day,Sol,Low,IM
MTRIA,S1,Sed,Day,Sol,Bottom,IM
OCHRY,S4,Mob,Day,SmallG,Low,IM
PPARU,S4,Mob,Day,Sol,Low,IS
PVOLI,S3,Mob,Both,SmallG,Low,FC
SAURO,S3,Mob,Day,MedG,High,PK
SCHRY,S3,Mob,Day,SmallG,High,IM
SLEUC,S3,Mob,Both,LargeG,Low,IM
SPART,S2,Mob,Day,Sol,Bottom,FC
SPLAN,S2,Mob,Both,Sol,Bottom,IM
SPLUM,S3,Mob,Both,Sol,Bottom,FC
SRUBR,S4,Mob,Day,MedG,Low,IM
SVIRI,S4,Mob,Day,Sol,Bottom,IM
TBIFA,S2,Mob,Both,MedG,Low,IM
