Abb_Spp,Size,Mobility,Activity,Schooling,Position,Diet
ACHIR,S3,Mob,Day,SmallG,Low,IM
ACOER,S3,Mob,Day,SmallG,Low,HD
AHIAN,S3,Mob,Both,SmallG,Low,PK
AMACU,S5,Mob,Day,SmallG,Low,HD
ANARI,S6,VMob,Day,Sol,High,IM
APOLY,S4,Mob,Day,Sol,Low,IS
AQUAD,S3,Mob,Day,Sol,Bottom,IM
ASAXA,S3,Mob,Day,SmallG,Low,OM
ASCRI,S5,VMob,Both,Sol,Low,PK
ASURI,S4,Mob,Day,SmallG,Low,IM
ATAUR,S3,Mob,Day,SmallG,Low,OM
ATRAC,S3,Mob,Day,SmallG,Low,HD
AVIRG,S3,Mob,Day,SmallG,Low,IM
BLUNA,S4,Sed,Day,Sol,Bottom,FC
BRUFU,S4,Mob,Day,MedG,Low,HD
CBAJO,S4,Mob,Day,MedG,Low,IM
CBART,S5,VMob,Day,LargeG,High,FC
CCAPI,S3,Mob,Both,SmallG,Low,IM
CCRUEN,S3,Mob,Day,SmallG,Low,HD
CCRY,S4,VMob,Day,LargeG,High,FC
CCYAN,S3,Mob,Day,SmallG,Low,IS
CHYPP,S5,VMob,Day,LargeG,High,FC
CLATU,S5,VMob,Day,LargeG,High,IM
CLUGU,S5,VMob,Night,LargeG,High,FC
CMACR,S4,Mob,Day,Pair,Low,IS
CMULT,S2,Sed,Both,SmallG,Low,IM
COCEL,S3,Sed,Both,Sol,Low,PK
CPARR,S3,Mob,Day,Sol,Low,IS
CPULL,S3,Mob,Both,MedG,Low,IM
CROST,S2,Sed,Day,Sol,Low,OM
CRUBE,S4,Mob,Day,Sol,Bottom,FC
CSUFF,S3,VMob,Day,MedG,Low,HM
DHOLO,S2,Mob,Day,Sol,Low,IS
DHYST,S4,Mob,Both,Sol,Bottom,IM
ELANC,S2,Sed,Both,SmallG,Low,IM
EOEAN,S1,Mob,Day,Sol,Low,IM
EPUNC,S3,Sed,Day,Sol,Low,IM
GCINER,S3,Mob,Both,MedG,Low,IM
GTHOM,S1,Sed,Day,SmallG,Bottom,HD
HADSC,S3,Mob,Both,MedG,Low,IM
HALBU,S4,Mob,Both,MedG,Low,IM
HAMER,S5,Mob,Both,Sol,Low,IM
HAURO,S3,Mob,Both,LargeG,Low,IM
HBIVI,S3,Mob,Day,Sol,Low,IM
HCARB,S3,Mob,Both,MedG,Low,IM
HCHRY,S3,Mob,Day,Sol,Low,IM
HCILI,S2,Mob,Both,MedG,Low,IM
HFLAV,S3,VMob,Both,MedG,High,PK
HGARN,S3,Mob,Day,SmallG,Low,IM
HMACU,S3,Sed,Day,Sol,Low,HD
HMELA,S3,Mob,Both,MedG,Low,IM
HPLUM,S4,Mob,Day,SmallG,Low,IM
HRADI,S4,Mob,Day,Sol,Low,IM
HSCIU,S3,Sed,Both,MedG,Low,PK
HTRIC,S3,Sed,Day,Pair,Low,IS
KYPHO,S4,VMob,Both,SmallG,High,FC
LANAL,S4,VMob,Both,Sol,Low,FC
LAPOD,S4,Mob,Day,SmallG,Low,IM
LBICA,S3,Mob,Day,Sol,Low,IM
LCYAN,S5,Mob,Day,Sol,Low,IM
LGRIS,S4,Mob,Day,SmallG,Low,FC
LJOCU,S5,Mob,Day,MedG,Low,HD
LMAHO,S3,Mob,Day,MedG,Low,IM
LSYNA,S3,VMob,Both,LargeG,High,HD
LTRIQ,S3,Mob,Day,Sol,Low,IM
MBONA,S5,Mob,Day,MedG,Low,PK
MCHRY,S3,VMob,Day,Sol,Low,IM
MINIG,S3,VMob,Day,MedG,High,PK
MINTE,S4,Sed,Day,Pair,Low,IS
MMART,S3,Mob,Day,SmallG,Low,HD
MTRIA,S1,Sed,Day,Sol,Bottom,IM
OCHRY,S4,Mob,Day,SmallG,Low,IM
PARCU,S4,Mob,Day,MedG,Low,HD
PMACU,S4,Mob,Day,MedG,Low,PK
PPARU,S4,Mob,Day,Sol,Low,IS
PVOLI,S3,Mob,Both,SmallG,Low,FC
SAURO,S3,Mob,Day,MedG,High,PK
SBARR,S6,VMob,Night,SmallG,High,FC
SCHRY,S3,Mob,Day,SmallG,High,IM
SDIEN,S2,Sed,Day,Sol,Low,HD
SINTE,S4,Mob,Day,Sol,Low,FC
SISER,S3,Mob,Day,MedG,Low,IM
SLEUC,S3,Mob,Both,LargeG,Low,IM
SPART,S2,Mob,Day,Sol,Bottom,FC
SPENG,S2,Mob,Day,Sol,Low,IS
SPLAN,S2,Mob,Both,Sol,Bottom,IM
SPLUM,S3,Mob,Both,Sol,Bottom,FC
SRUBR,S4,Mob,Day,MedG,Low,IM
STAEN,S3,Mob,Day,SmallG,Low,IM
STIGR,S2,Sed,Night,Sol,Bottom,IM
SVETU,S3,Mob,Day,SmallG,Low,HD
SVIRI,S4,Mob,Day,Sol,Bottom,IM
TBIFA,S2,Mob,Both,MedG,Low,IM
TFALC,S5,VMob,Day,MedG,Low,IM
